_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
47,2020-10-25 00:00:23.271,/sonometros,NoiseLevelObserved,T248684-daily,65.3,65.8,69.4,69.7,60.9,2020-10-24
48,2020-10-26 00:00:11.714,/sonometros,NoiseLevelObserved,T248684-daily,58.8,60.1,63.3,57.6,56,2020-10-25
49,2020-10-27 00:00:12.626,/sonometros,NoiseLevelObserved,T248684-daily,59,60.6,61.2,60,50.8,2020-10-26
50,2020-10-28 00:01:15.9,/sonometros,NoiseLevelObserved,T248684-daily,59.6,61.1,62.1,60.9,52.1,2020-10-27
51,2020-10-29 00:00:17.181,/sonometros,NoiseLevelObserved,T248684-daily,62.2,63.3,66,63.6,58,2020-10-28
52,2020-10-30 00:00:19.331,/sonometros,NoiseLevelObserved,T248684-daily,60.9,62.4,63.3,62.5,53,2020-10-29
53,2020-10-31 00:01:22.79,/sonometros,NoiseLevelObserved,T248684-daily,63.5,63.6,67.5,68.9,58.2,2020-10-30
54,2020-11-01 00:00:23.271,/sonometros,NoiseLevelObserved,T248684-daily,64.7,65.4,68.2,69.2,58.6,2020-10-31
55,2020-11-02 00:00:24.997,/sonometros,NoiseLevelObserved,T248684-daily,59,60.2,63,57.8,55.7,2020-11-01
56,2020-11-03 00:00:27.589,/sonometros,NoiseLevelObserved,T248684-daily,60.6,62.4,62.6,59.5,52.3,2020-11-02
57,2020-11-04 00:00:31.307,/sonometros,NoiseLevelObserved,T248684-daily,61.2,63,63,60.5,52,2020-11-03
58,2020-11-05 00:00:32.955,/sonometros,NoiseLevelObserved,T248684-daily,61.2,62.9,63.6,61,53.9,2020-11-04
59,2020-11-06 00:00:35.826,/sonometros,NoiseLevelObserved,T248684-daily,62.6,64.2,65.9,60,57.9,2020-11-05
60,2020-11-07 00:00:37.140,/sonometros,NoiseLevelObserved,T248684-daily,63.8,64.3,67.8,68.5,58.8,2020-11-06
61,2020-11-08 00:00:40.537,/sonometros,NoiseLevelObserved,T248684-daily,66.2,67.2,69.1,70.2,58.5,2020-11-07
62,2020-11-09 00:00:42.123,/sonometros,NoiseLevelObserved,T248684-daily,58.4,59.7,60.9,60.9,50.4,2020-11-08
63,2020-11-10 00:00:44.481,/sonometros,NoiseLevelObserved,T248684-daily,60.2,61.9,62.4,60.9,51.7,2020-11-09
64,2020-11-11 00:00:46.498,/sonometros,NoiseLevelObserved,T248684-daily,60.1,61.8,62.2,60.2,51.8,2020-11-10
65,2020-11-12 00:00:49.667,/sonometros,NoiseLevelObserved,T248684-daily,60.1,61.6,62.5,62.3,51.6,2020-11-11
66,2020-11-13 00:00:51.540,/sonometros,NoiseLevelObserved,T248684-daily,60.4,62,62.9,61.7,52.7,2020-11-12
67,2020-11-14 00:00:56.23,/sonometros,NoiseLevelObserved,T248684-daily,61.9,62.4,65.5,66.6,55.9,2020-11-13
68,2020-11-15 00:00:56.330,/sonometros,NoiseLevelObserved,T248684-daily,65,66.2,67.5,68.8,55.6,2020-11-14
69,2020-11-16 00:00:00.510,/sonometros,NoiseLevelObserved,T248684-daily,58.3,59.5,61.8,59.8,53.5,2020-11-15
70,2020-11-17 00:00:02.895,/sonometros,NoiseLevelObserved,T248684-daily,60.6,62.4,62.5,59.9,51.7,2020-11-16
71,2020-11-27T00:00:56.737Z,/sonometros,NoiseLevelObserved,T248684-daily,60.2,61.9,62.6,59.8,52.9,2020-11-26
72,2020-11-28T00:00:01.990Z,/sonometros,NoiseLevelObserved,T248684-daily,65.6,67.7,67.0,61.8,55.4,2020-11-27
73,2020-11-29T00:00:02.809Z,/sonometros,NoiseLevelObserved,T248684-daily,65.3,65.7,68.8,70.8,58.4,2020-11-28
74,2020-11-30T00:00:05.545Z,/sonometros,NoiseLevelObserved,T248684-daily,57.7,59.1,60.3,59.6,50.3,2020-11-29
75,2020-12-01T00:00:08.172Z,/sonometros,NoiseLevelObserved,T248684-daily,60.5,62.1,62.7,60.9,52.6,2020-11-30
